2018-04-13 13:25:09.187:Sensor{ID=23-14, latestReading=Reading{temperature=32.5, smokelevel=15.2, co2level=18.14, batterylevel=83}}
2018-04-13 13:26:09.272:Sensor{ID=23-15, latestReading=Reading{temperature=33.5, smokelevel=14.8, co2level=19.14, batterylevel=83}}
2018-04-13 13:30:52.66:Sensor{ID=12-30, latestReading=Reading{temperature=32.5, smokelevel=14.8, co2level=18.14, batterylevel=77}}
2018-04-13 15:03:22.508:Sensor{ID=20-1, latestReading=Reading{temperature=27.5, smokelevel=6.8, co2level=299.5, batterylevel=72}}
2018-04-13 15:04:07.873:Sensor{ID=20-14, latestReading=Reading{temperature=28.5, smokelevel=7.2, co2level=299.5, batterylevel=72}}
2018-04-13 15:16:51.583:Sensor{ID=4-2, latestReading=Reading{temperature=27.5, smokelevel=7.2, co2level=299.5, batterylevel=72}}
2018-04-13 15:42:47.873:Sensor{ID=23-14, latestReading=Reading{temperature=27.5, smokelevel=7.2, co2level=299.5, batterylevel=78}}
2018-04-13 15:47:47.843:Sensor{ID=23-14, latestReading=Reading{temperature=28.0, smokelevel=7.4, co2level=300.0, batterylevel=75}}
2018-04-13 15:52:47.845:Sensor{ID=23-14, latestReading=Reading{temperature=27.5, smokelevel=7.2, co2level=300.5, batterylevel=72}}
2018-04-13 15:57:47.845:Sensor{ID=23-14, latestReading=Reading{temperature=27.0, smokelevel=7.0, co2level=300.0, batterylevel=69}}
2018-04-13 16:02:47.847:Sensor{ID=23-14, latestReading=Reading{temperature=26.5, smokelevel=7.2, co2level=300.5, batterylevel=66}}
2018-04-13 18:55:21.531:Sensor{ID=23-14, latestReading=Reading{temperature=27.0, smokelevel=7.0, co2level=300.0, batterylevel=69}}
2018-04-13 19:00:22.039:Sensor{ID=23-14, latestReading=Reading{temperature=26.5, smokelevel=6.8, co2level=299.5, batterylevel=72}}
2018-04-13 19:05:21.628:Sensor{ID=23-14, latestReading=Reading{temperature=26.0, smokelevel=7.0, co2level=300.0, batterylevel=69}}
2018-04-13 19:30:16.944:Sensor{ID=23-14, latestReading=Reading{temperature=28.5, smokelevel=7.2, co2level=299.5, batterylevel=72}}
2018-04-13 20:47:17.823:Sensor{ID=23-14, latestReading=Reading{temperature=28.5, smokelevel=6.8, co2level=300.5, batterylevel=72}}
2018-04-13 20:54:53.751:Sensor{ID=24-14, latestReading=Reading{temperature=28.5, smokelevel=7.2, co2level=300.5, batterylevel=78}}
2018-04-13 20:55:43.656:Sensor{ID=15-12, latestReading=Reading{temperature=28.5, smokelevel=6.8, co2level=299.5, batterylevel=78}}
2018-04-13 20:57:20.293:Sensor{ID=12-15, latestReading=Reading{temperature=28.5, smokelevel=7.2, co2level=300.5, batterylevel=72}}
2018-04-13 20:59:53.708:Sensor{ID=24-14, latestReading=Reading{temperature=28.0, smokelevel=7.0, co2level=301.0, batterylevel=75}}
2018-04-13 21:00:43.669:Sensor{ID=15-12, latestReading=Reading{temperature=28.0, smokelevel=6.6, co2level=299.0, batterylevel=81}}
2018-04-13 21:02:20.298:Sensor{ID=12-15, latestReading=Reading{temperature=29.0, smokelevel=7.4, co2level=301.0, batterylevel=75}}
2018-04-13 21:04:53.71:Sensor{ID=24-14, latestReading=Reading{temperature=28.5, smokelevel=7.2, co2level=300.5, batterylevel=72}}
2018-04-13 21:05:43.672:Sensor{ID=15-12, latestReading=Reading{temperature=28.5, smokelevel=6.8, co2level=298.5, batterylevel=84}}
2018-04-13 21:07:20.299:Sensor{ID=12-15, latestReading=Reading{temperature=28.5, smokelevel=7.6, co2level=300.5, batterylevel=78}}
2018-04-13 21:09:53.713:Sensor{ID=24-14, latestReading=Reading{temperature=29.0, smokelevel=7.4, co2level=301.0, batterylevel=75}}
2018-04-13 21:10:43.677:Sensor{ID=15-12, latestReading=Reading{temperature=28.0, smokelevel=7.0, co2level=298.0, batterylevel=87}}
2018-04-13 21:12:20.302:Sensor{ID=12-15, latestReading=Reading{temperature=29.0, smokelevel=7.8, co2level=300.0, batterylevel=81}}
2018-04-13 21:14:53.718:Sensor{ID=24-14, latestReading=Reading{temperature=28.5, smokelevel=7.6, co2level=301.5, batterylevel=72}}
2018-04-13 21:15:43.693:Sensor{ID=15-12, latestReading=Reading{temperature=28.5, smokelevel=6.8, co2level=298.5, batterylevel=90}}
2018-04-13 21:17:20.302:Sensor{ID=12-15, latestReading=Reading{temperature=29.5, smokelevel=8.0, co2level=299.5, batterylevel=84}}
2018-04-15 13:04:12.196:Sensor{ID=23-14, latestReading=Reading{temperature=27.5, smokelevel=7.2, co2level=300.5, batterylevel=78}}
2018-04-15 13:04:47.712:Sensor{ID=23-14, latestReading=Reading{temperature=28.5, smokelevel=7.2, co2level=299.5, batterylevel=78}}
2018-04-15 13:18:20.831:Sensor{ID=23-14, latestReading=Reading{temperature=27.5, smokelevel=7.2, co2level=299.5, batterylevel=72}}
2018-04-15 13:20:20.014:Sensor{ID=23-15, latestReading=Reading{temperature=28.5, smokelevel=6.8, co2level=300.5, batterylevel=72}}
2018-04-15 13:23:20.834:Sensor{ID=23-14, latestReading=Reading{temperature=28.0, smokelevel=7.0, co2level=300.0, batterylevel=69}}
2018-04-16 11:00:12.582:Sensor{ID=23-14, latestReading=Reading{temperature=27.5, smokelevel=7.2, co2level=299.5, batterylevel=72}}
